ID,N,Strategy,K,Time,Status
13,10,geometric,8,0.298,OK
13,10,maxregret,8,0.288,OK
13,10,antifirstfail,8,0.353,OK
14,10,domwdeg_split,6,0.294,OK
14,10,firstfail_split,6,0.325,OK
15,10,smallest,6,0.208,OK
14,10,domwdeg,6,0.329,OK
15,10,default,6,0.29,OK
14,10,linear,6,0.303,OK
14,10,norestart,6,0.313,OK
15,10,firstfail,6,0.192,OK
14,10,geometric,6,0.281,OK
14,10,maxregret,6,0.276,OK
14,10,antifirstfail,6,0.302,OK
15,10,domwdeg_split,6,0.321,OK
16,10,smallest,5,0.263,OK
15,10,firstfail_split,6,0.314,OK
15,10,domwdeg,6,0.351,OK
16,10,default,5,0.29,OK
15,10,norestart,6,0.316,OK
16,10,firstfail,5,0.327,OK
15,10,linear,6,0.361,OK
15,10,geometric,6,0.391,OK
15,10,maxregret,6,0.39,OK
16,10,domwdeg_split,5,0.271,OK
15,10,antifirstfail,6,0.426,OK
16,10,firstfail_split,5,0.245,OK
17,10,smallest,7,0.299,OK
16,10,domwdeg,5,0.297,OK
17,10,default,7,0.331,OK
16,10,norestart,5,0.266,OK
16,10,linear,5,0.235,OK
17,10,firstfail,7,0.291,OK
16,10,maxregret,5,0.267,OK
16,10,geometric,5,0.282,OK
16,10,antifirstfail,5,0.299,OK
18,10,smallest,9,0.223,OK
17,10,domwdeg_split,7,0.356,OK
17,10,firstfail_split,7,0.291,OK
17,10,domwdeg,7,0.265,OK
17,10,linear,7,0.312,OK
18,10,default,9,0.335,OK
17,10,norestart,7,0.403,OK
17,10,maxregret,7,0.211,OK
18,10,firstfail,9,0.456,OK
17,10,geometric,7,0.243,OK
19,10,smallest,8,0.246,OK
18,10,firstfail_split,9,0.253,OK
18,10,domwdeg_split,9,0.246,OK
17,10,antifirstfail,7,0.268,OK
18,10,domwdeg,9,0.298,OK
18,10,linear,9,0.298,OK
19,10,default,8,0.278,OK
19,10,firstfail,8,0.274,OK
18,10,maxregret,9,0.25,OK
18,10,geometric,9,0.267,OK
19,10,domwdeg_split,8,0.238,OK
19,10,firstfail_split,8,0.247,OK
18,10,norestart,9,0.444,OK
20,10,smallest,8,0.293,OK
18,10,antifirstfail,9,0.434,OK
19,10,domwdeg,8,0.426,OK
19,10,linear,8,0.323,OK
20,10,default,8,0.278,OK
20,10,firstfail,8,0.274,OK
19,10,maxregret,8,0.287,OK
19,10,geometric,8,0.287,OK
20,10,domwdeg_split,8,0.241,OK
20,10,firstfail_split,8,0.226,OK
19,10,norestart,8,0.282,OK
21,15,smallest,9,0.278,OK
19,10,antifirstfail,8,0.312,OK
20,10,domwdeg,8,0.336,OK
20,10,linear,8,0.291,OK
21,15,default,9,0.313,OK
21,15,domwdeg_split,9,0.32,OK
20,10,geometric,8,0.332,OK
21,15,firstfail_split,9,0.325,OK
21,15,firstfail,9,0.372,OK
20,10,norestart,8,0.187,OK
20,10,maxregret,8,0.409,OK
22,15,smallest,12,0.309,OK
21,15,domwdeg,9,0.306,OK
20,10,antifirstfail,8,0.298,OK
21,15,linear,9,0.277,OK
21,15,geometric,9,0.314,OK
22,15,firstfail_split,12,0.322,OK
22,15,firstfail,12,0.294,OK
22,15,domwdeg_split,12,0.356,OK
22,15,default,12,0.388,OK
21,15,norestart,9,0.31,OK
21,15,maxregret,9,0.282,OK
21,15,antifirstfail,9,0.38,OK
23,15,smallest,12,0.383,OK
22,15,domwdeg,12,0.463,OK
22,15,linear,12,0.444,OK
23,15,firstfail,12,0.319,OK
23,15,firstfail_split,12,0.332,OK
23,15,default,12,0.361,OK
22,15,maxregret,12,0.39,OK
22,15,norestart,12,0.418,OK
23,15,domwdeg_split,12,0.499,OK
22,15,geometric,12,0.523,OK
24,15,smallest,11,0.319,OK
23,15,domwdeg,12,0.343,OK
24,15,firstfail,11,0.276,OK
24,15,firstfail_split,11,0.275,OK
23,15,linear,12,0.601,OK
24,15,domwdeg_split,11,0.227,OK
23,15,maxregret,12,0.354,OK
24,15,default,11,0.453,OK
23,15,geometric,12,0.285,OK
25,15,smallest,14,0.26,OK
23,15,norestart,12,0.615,OK
25,15,firstfail_split,14,0.24,OK
25,15,firstfail,14,0.287,OK
24,15,domwdeg,11,0.629,OK
24,15,linear,11,0.36,OK
25,15,default,14,0.238,OK
26,15,smallest,12,0.211,OK
24,15,geometric,11,0.243,OK
25,15,domwdeg_split,14,0.443,OK
26,15,firstfail,12,0.241,OK
26,15,firstfail_split,12,0.266,OK
24,15,maxregret,11,0.595,OK
24,15,norestart,11,0.556,OK
26,15,default,12,0.277,OK
25,15,domwdeg,14,0.5,OK
25,15,linear,14,0.379,OK
26,15,domwdeg_split,12,0.306,OK
27,15,smallest,14,0.339,OK
27,15,firstfail_split,14,0.264,OK
27,15,firstfail,14,0.266,OK
25,15,maxregret,14,0.278,OK
26,15,domwdeg,12,0.312,OK
25,15,geometric,14,0.853,OK
27,15,domwdeg_split,14,0.322,OK
28,15,smallest,10,0.32,OK
27,15,default,14,0.373,OK
26,15,linear,12,0.449,OK
26,15,maxregret,12,0.221,OK
28,15,firstfail_split,10,0.225,OK
28,15,firstfail,10,0.219,OK
29,15,smallest,11,0.283,OK
29,15,firstfail,11,0.238,OK
28,15,default,10,0.279,OK
27,15,maxregret,14,0.283,OK
29,15,firstfail_split,11,0.263,OK
26,15,geometric,12,0.535,OK
30,15,smallest,10,0.179,OK
27,15,linear,14,0.608,OK
11,10,mostconstrained,8,11.102,OK
28,15,maxregret,10,0.246,OK
30,15,firstfail,10,0.25,OK
30,15,firstfail_split,10,0.252,OK
29,15,default,11,0.334,OK
27,15,domwdeg,14,1.042,OK
12,10,mostconstrained,6,0.193,OK
31,20,smallest,18,0.377,OK
28,15,linear,10,0.493,OK
31,20,firstfail,18,0.299,OK
30,15,default,10,0.226,OK
31,20,firstfail_split,18,0.309,OK
29,15,maxregret,11,0.365,OK
27,15,geometric,14,0.925,OK
32,20,smallest,14,0.278,OK
32,20,firstfail_split,14,0.249,OK
30,15,maxregret,10,0.173,OK
31,20,default,18,0.345,OK
28,15,domwdeg,10,0.78,OK
28,15,geometric,10,0.241,OK
32,20,firstfail,14,0.428,OK
29,15,linear,11,0.5,OK
33,20,smallest,16,0.235,OK
33,20,firstfail_split,16,0.287,OK
31,20,maxregret,18,0.309,OK
28,15,domwdeg_split,10,2.641,OK
30,15,linear,10,0.202,OK
32,20,default,14,0.386,OK
34,20,smallest,17,0.288,OK
29,15,domwdeg,11,0.473,OK
33,20,firstfail,16,0.417,OK
34,20,firstfail_split,17,0.212,OK
29,15,domwdeg_split,11,0.31,OK
35,20,smallest,16,0.233,OK
30,15,domwdeg,10,0.251,OK
35,20,firstfail_split,16,0.203,OK
33,20,default,16,0.378,OK
34,20,firstfail,17,0.325,OK
29,15,geometric,11,0.968,OK
30,15,domwdeg_split,10,0.206,OK
36,20,smallest,15,0.242,OK
36,20,firstfail_split,15,0.277,OK
30,15,geometric,10,0.228,OK
35,20,firstfail,16,0.268,OK
34,20,default,17,0.518,OK
31,20,domwdeg_split,18,0.392,OK
37,20,smallest,17,0.225,OK
36,20,firstfail,15,0.28,OK
37,20,firstfail_split,17,0.263,OK
38,20,smallest,16,0.32,OK
31,20,domwdeg,18,1.32,OK
38,20,firstfail_split,16,0.3,OK
37,20,firstfail,17,0.295,OK
32,20,maxregret,14,2.325,OK
39,20,smallest,17,0.308,OK
38,20,firstfail,16,0.249,OK
39,20,firstfail_split,17,0.264,OK
40,20,smallest,18,0.19,OK
13,10,mostconstrained,8,4.312,OK
39,20,firstfail,17,0.233,OK
40,20,firstfail_split,18,0.273,OK
41,25,smallest,20,0.215,OK
14,10,mostconstrained,6,0.192,OK
40,20,firstfail,18,0.216,OK
31,20,linear,18,3.516,OK
41,25,firstfail_split,20,0.224,OK
42,25,smallest,23,0.307,OK
31,20,geometric,18,2.692,OK
41,25,firstfail,20,0.296,OK
42,25,firstfail_split,23,0.261,OK
43,25,smallest,24,0.309,OK
42,25,firstfail,23,0.27,OK
43,25,firstfail_split,24,0.227,OK
44,25,smallest,20,0.242,OK
44,25,firstfail_split,20,0.217,OK
43,25,firstfail,24,0.262,OK
45,25,smallest,20,0.209,OK
45,25,firstfail_split,20,0.225,OK
44,25,firstfail,20,0.292,OK
46,25,smallest,22,0.224,OK
46,25,firstfail_split,22,0.218,OK
45,25,firstfail,20,0.232,OK
47,25,smallest,21,0.21,OK
47,25,firstfail_split,21,0.275,OK
46,25,firstfail,22,0.284,OK
32,20,domwdeg_split,14,4.978,OK
48,25,smallest,23,0.311,OK
48,25,firstfail_split,23,0.277,OK
47,25,firstfail,21,0.304,OK
33,20,domwdeg_split,16,0.331,OK
49,25,smallest,20,0.247,OK
49,25,firstfail_split,20,0.238,OK
48,25,firstfail,23,0.28,OK
50,25,smallest,22,0.222,OK
50,25,firstfail_split,22,0.244,OK
49,25,firstfail,20,0.243,OK
51,30,smallest,23,0.242,OK
51,30,firstfail_split,23,0.247,OK
50,25,firstfail,22,0.229,OK
52,30,smallest,27,0.333,OK
52,30,firstfail_split,27,0.285,OK
51,30,firstfail,23,0.305,OK
53,30,smallest,26,0.273,OK
32,20,geometric,14,5.201,OK
53,30,firstfail_split,26,0.423,OK
54,30,smallest,27,0.288,OK
52,30,firstfail,27,0.478,OK
54,30,firstfail_split,27,0.347,OK
55,30,smallest,25,0.308,OK
53,30,firstfail,26,0.277,OK
55,30,firstfail_split,25,0.316,OK
33,20,maxregret,16,8.154,OK
56,30,smallest,27,0.36,OK
54,30,firstfail,27,0.38,OK
56,30,firstfail_split,27,0.339,OK
34,20,maxregret,17,0.365,OK
57,30,smallest,26,0.358,OK
55,30,firstfail,25,0.339,OK
35,20,maxregret,16,0.22,OK
57,30,firstfail_split,26,0.331,OK
58,30,smallest,26,0.304,OK
56,30,firstfail,27,0.451,OK
36,20,maxregret,15,0.581,OK
58,30,firstfail_split,26,0.254,OK
33,20,geometric,16,2.929,OK
59,30,smallest,28,0.345,OK
59,30,firstfail_split,28,0.323,OK
60,30,smallest,24,0.246,OK
37,20,maxregret,17,0.677,OK
60,30,firstfail_split,24,0.327,OK
57,30,firstfail,26,1.145,OK
34,20,geometric,17,1.021,OK
38,20,maxregret,16,0.249,OK
58,30,firstfail,26,0.392,OK
39,20,maxregret,17,0.357,OK
35,20,geometric,16,0.805,OK
59,30,firstfail,28,0.431,OK
40,20,maxregret,18,0.372,OK
41,25,maxregret,20,0.558,OK
42,25,maxregret,23,0.297,OK
60,30,firstfail,24,1.549,OK
43,25,maxregret,24,0.448,OK
15,10,mostconstrained,6,13.873,OK
36,20,geometric,15,2.407,OK
16,10,mostconstrained,5,0.192,OK
44,25,maxregret,20,0.612,OK
37,20,geometric,17,0.891,OK
45,25,maxregret,20,0.395,OK
17,10,mostconstrained,7,1.653,OK
46,25,maxregret,22,0.988,OK
47,25,maxregret,21,0.298,OK
48,25,maxregret,23,0.793,OK
32,20,domwdeg,14,19.639,OK
18,10,mostconstrained,9,3.247,OK
38,20,geometric,16,4.696,OK
32,20,linear,14,21.203,OK
19,10,mostconstrained,8,3.013,OK
39,20,geometric,17,3.713,OK
33,20,domwdeg,16,5.4,OK
40,20,geometric,18,1.163,OK
34,20,domwdeg,17,1.645,OK
35,20,domwdeg,16,0.789,OK
33,20,linear,16,5.935,OK
36,20,domwdeg,15,0.616,OK
41,25,geometric,20,2.463,OK
37,20,domwdeg,17,0.677,OK
20,10,mostconstrained,8,5.726,OK
38,20,domwdeg,16,0.935,OK
34,20,domwdeg_split,17,26.03,OK
34,20,linear,17,2.419,OK
35,20,domwdeg_split,16,0.487,OK
36,20,domwdeg_split,15,0.221,OK
35,20,linear,16,0.544,OK
37,20,domwdeg_split,17,0.233,OK
39,20,domwdeg,17,2.351,OK
38,20,domwdeg_split,16,0.587,OK
22,15,antifirstfail,12,41.77,OK
36,20,linear,15,1.619,OK
40,20,domwdeg,18,1.068,OK
39,20,domwdeg_split,17,1.838,OK
37,20,linear,17,1.277,OK
38,20,linear,16,0.751,OK
41,25,domwdeg,20,3.909,OK
39,20,linear,17,5.322,OK
40,20,linear,18,1.178,OK
40,20,domwdeg_split,18,10.314,OK
41,25,domwdeg_split,20,3.159,OK
41,25,linear,20,8.532,OK
42,25,domwdeg,23,20.126,OK
21,15,mostconstrained,9,34.371,OK
42,25,linear,23,21.903,OK
43,25,domwdeg,24,22.136,OK
43,25,linear,24,11.784,OK
49,25,maxregret,20,78.047,OK
50,25,maxregret,22,0.423,OK
51,30,maxregret,23,7.816,OK
52,30,maxregret,27,1.165,OK
53,30,maxregret,26,0.582,OK
54,30,maxregret,27,0.493,OK
55,30,maxregret,25,0.325,OK
56,30,maxregret,27,0.638,OK
57,30,maxregret,26,1.77,OK
58,30,maxregret,26,0.674,OK
25,15,norestart,14,161.717,OK
26,15,norestart,12,0.338,OK
42,25,geometric,23,138.975,OK
44,25,domwdeg,20,88.242,OK
45,25,domwdeg,20,5.267,OK
59,30,maxregret,28,64.425,OK
42,25,domwdeg_split,23,129.367,OK
43,25,domwdeg_split,24,0.334,OK
60,30,maxregret,24,2.068,OK
46,25,domwdeg,22,4.261,OK
44,25,domwdeg_split,20,0.589,OK
47,25,domwdeg,21,6.837,OK
43,25,geometric,24,22.29,OK
48,25,domwdeg,23,11.406,OK
49,25,domwdeg,20,1.985,OK
50,25,domwdeg,22,2.631,OK
51,30,domwdeg,23,15.817,OK
45,25,domwdeg_split,20,65.753,OK
46,25,domwdeg_split,22,0.299,OK
47,25,domwdeg_split,21,0.303,OK
48,25,domwdeg_split,23,0.283,OK
52,30,domwdeg,27,39.889,OK
49,25,domwdeg_split,20,38.108,OK
44,25,linear,20,204.673,OK
53,30,domwdeg,26,31.075,OK
35,20,default,-1,300,TIMEOUT
36,20,default,15,0.359,OK
37,20,default,17,0.248,OK
38,20,default,16,0.284,OK
39,20,default,17,0.4,OK
40,20,default,18,0.365,OK
41,25,default,20,1.284,OK
42,25,default,23,2.548,OK
43,25,default,24,0.289,OK
44,25,default,20,1.106,OK
45,25,linear,20,17.325,OK
54,30,domwdeg,27,17.686,OK
45,25,default,20,1.652,OK
46,25,default,22,0.269,OK
47,25,default,21,0.953,OK
48,25,default,23,0.364,OK
46,25,linear,22,6.2,OK
49,25,default,20,2.93,OK
47,25,linear,21,2.66,OK
48,25,linear,23,7.436,OK
55,30,domwdeg,25,17.212,OK
49,25,linear,20,6.537,OK
23,15,antifirstfail,-1,300,TIMEOUT
22,15,mostconstrained,12,270.706,OK
50,25,linear,22,10.521,OK
24,15,antifirstfail,11,22.101,OK
25,15,antifirstfail,14,7.537,OK
27,15,norestart,14,213.819,OK
28,15,norestart,10,0.656,OK
29,15,norestart,11,0.26,OK
30,15,norestart,10,0.238,OK
50,25,domwdeg_split,22,86.814,OK
31,20,norestart,18,1.182,OK
56,30,domwdeg,27,49.867,OK
51,30,linear,23,46.794,OK
52,30,linear,27,26.321,OK
57,30,domwdeg,26,70.138,OK
58,30,domwdeg,26,36.057,OK
44,25,geometric,-1,300,TIMEOUT
53,30,linear,26,77.802,OK
45,25,geometric,20,5.153,OK
46,25,geometric,22,5.238,OK
47,25,geometric,21,5.846,OK
59,30,domwdeg,28,30.192,OK
54,30,linear,27,23.624,OK
55,30,linear,25,28.868,OK
26,15,antifirstfail,12,196.248,OK
48,25,geometric,23,67.507,OK
49,25,geometric,20,7.146,OK
27,15,antifirstfail,14,22.69,OK
50,25,geometric,22,6.336,OK
50,25,default,-1,300,TIMEOUT
60,30,domwdeg,24,114.799,OK
23,15,mostconstrained,-1,300,TIMEOUT
51,30,domwdeg_split,23,275.231,OK
52,30,domwdeg_split,27,0.332,OK
51,30,geometric,23,64.102,OK
32,20,norestart,-1,300,TIMEOUT
33,20,norestart,16,19.949,OK
28,15,antifirstfail,10,122.777,OK
29,15,antifirstfail,11,0.223,OK
34,20,norestart,17,23.384,OK
30,15,antifirstfail,10,15.635,OK
56,30,linear,27,178.274,OK
57,30,linear,26,74.288,OK
35,20,norestart,16,128.926,OK
36,20,norestart,15,0.707,OK
53,30,domwdeg_split,26,202.129,OK
37,20,norestart,17,5.817,OK
58,30,linear,26,63.068,OK
38,20,norestart,16,18.222,OK
39,20,norestart,17,2.381,OK
40,20,norestart,18,6.507,OK
54,30,domwdeg_split,27,44.86,OK
59,30,linear,28,32.799,OK
55,30,domwdeg_split,25,0.39,OK
52,30,geometric,27,255.389,OK
51,30,default,-1,300,TIMEOUT
52,30,default,27,3.314,OK
24,15,mostconstrained,-1,300,TIMEOUT
31,20,antifirstfail,-1,300,TIMEOUT
56,30,domwdeg_split,27,127.88,OK
57,30,domwdeg_split,26,4.832,OK
41,25,norestart,20,210.944,OK
25,15,mostconstrained,14,163.729,OK
58,30,domwdeg_split,26,135.557,OK
59,30,domwdeg_split,28,0.302,OK
60,30,domwdeg_split,24,10.986,OK
60,30,linear,-1,300,TIMEOUT
53,30,geometric,-1,300,TIMEOUT
53,30,default,-1,300,TIMEOUT
54,30,default,27,14.058,OK
55,30,default,25,3.068,OK
54,30,geometric,27,65.033,OK
32,20,antifirstfail,-1,300,TIMEOUT
55,30,geometric,25,89.706,OK
42,25,norestart,-1,300,TIMEOUT
26,15,mostconstrained,-1,300,TIMEOUT
27,15,mostconstrained,14,0.399,OK
56,30,geometric,27,45.275,OK
43,25,norestart,24,41.732,OK
56,30,default,-1,300,TIMEOUT
57,30,default,26,1.722,OK
57,30,geometric,26,129.125,OK
28,15,mostconstrained,10,214.806,OK
33,20,antifirstfail,-1,300,TIMEOUT
29,15,mostconstrained,11,69.666,OK
44,25,norestart,-1,300,TIMEOUT
58,30,geometric,26,208.773,OK
45,25,norestart,20,37.543,OK
59,30,geometric,28,67.468,OK
58,30,default,-1,300,TIMEOUT
59,30,default,28,0.268,OK
34,20,antifirstfail,-1,300,TIMEOUT
30,15,mostconstrained,10,256.435,OK
46,25,norestart,-1,300,TIMEOUT
60,30,geometric,-1,300,TIMEOUT
60,30,default,-1,300,TIMEOUT
35,20,antifirstfail,-1,300,TIMEOUT
31,20,mostconstrained,-1,300,TIMEOUT
47,25,norestart,-1,300,TIMEOUT
36,20,antifirstfail,-1,300,TIMEOUT
32,20,mostconstrained,-1,300,TIMEOUT
48,25,norestart,-1,300,TIMEOUT
49,25,norestart,20,26.835,OK
50,25,norestart,22,102.784,OK
37,20,antifirstfail,-1,300,TIMEOUT
33,20,mostconstrained,-1,300,TIMEOUT
51,30,norestart,-1,300,TIMEOUT
38,20,antifirstfail,-1,300,TIMEOUT
34,20,mostconstrained,-1,300,TIMEOUT
